Izvođač,Pjesma,Godina,Video ID
Meri Cetinic,Samo simpatija,1978,msPrfFISd4U
Minea,Vrapci i komarci,1995,7fBEyDQ9Hs4
Petar Grašo,Trebam nekoga,1996,ILyH_ckRy5k
Zvonko Bogdan,Fijaker stari,1952,m1jHUbqfANA
Ivo Robić,Samo jednom se ljubi,1956,anqSz2n4Avc
Lola Novaković,Kap veselja,1958,zM6_xqdX3xY
Đorđe Marjanović,Milord,1961,ctSLDws2ZBU
Arsen Dedić,Kuća pored mora,1964,s8ecAf0Bay0
Safet Isović,Sve behara i sve cvjeta,1965,bHCTMQIMig8
Mišo Kovač,Više se nećeš vratiti,1969,pIKu2wmLwKw
Indexi,Svijet u kome živim,1971,0XKV95SkOFQ
Predrag Živković Tozovac,Mirjana,1972,f_bg0vgILZU
Toma Zdravković,Svirajte mi tiho tiše,1971,-SZIpMk02ok
Zdravko Čolić,Sinoć nisi bila tu,1972,rYtrqSTv6Lg
Oliver Dragojević,Ča će mi Copacabana,1974,wzrlNiz-8V8
Dušan Jakšić,Čamac na Tisi,1955,-nIS6LfXeHY
Beti Jurković,Kazačok,1969,vEuMV9Yq3Qw
Vice Vukov,Pismo ćali,1969,IZjzLpFmiBk
Mišo Kovač,Proplakat će zora,1971,5pJqQXyiTi0
Josipa Lisac,O jednoj mladosti,1973,G-ml5GGKrig
Indexi,Plima,1969,IRNvaiA0Dts
Kići Slabinac,Zbog jedne divne crne žene,1972,Pngi7KFbNLE
Pro Arte,Lola,1970,bTlzQ194BVY
Miki Jevremović,Grkinja,1973,0K4_s54ZfZo
Himzo Polovina,Čudna jada od Mostara grada,1962,y9wxp2ukuY4
Nedeljko Bilkić,Krčma u planini,1968,OXl_fPduCk0
Silvana Armenulić,A što ćemo ljubav kriti,1976,1Og5V8Of2qU
Kemal Monteno,Sarajevo ljubavi moja,1976,HWnrs2eOgwA
Šaban Šaulić,S namerom dođoh u veliki grad,1979,zzAdjM67WuQ
Seid Memić Vajta,Lejla,1981,9mjx8IPqzqA
Riblja Čorba,Pogledaj dom svoj anđele,1985,Mt2Rj_9kHcM
Riblja Čorba,Kad hodaš,1984,Nd_HpwVLXug
Kemal Monteno,Nije htjela,1985,C9QnpeLq8ns
Marinko Rokvić,Ti za ljubav nisi rođena,1984,J6LGDBiGyRo
Miki Jevremović,Ako jednom vidiš Mariju,1970,6q29SdbkCNE
Neno Belan & Đavoli,Vino noći,1993,o2yhkpnBtrA
Daleka Obala,14 palmi,1990,rh7uTVWdNC0
Hari Mata Hari,Strah me da te volim,1990,IUaCmrKXbiM
Dino Merlin,Bosnom behar probeharao,1989,ABqwlW-r6t8
Dino Merlin,Sredinom,2000,HWTxc9RShiA
Dino Merlin,Deset mlađa,2008,vvYDRNtS6gY
Željko Samardžić,9000 metara,2003,r0rf85FoVJI
Dima,Nije mene dušo ubilo,1994,PjiAB7eCpvU
Dr Iggy,Oči boje duge,1995,MqSfPS3HFko
Funky G,Samo u snu,1995,8l45T2P5tbs
Đogani,Idemo na Mars,1994,89ZANZjAqRE
Đogani,Gde si ti,2001,5bkEKBuLktM
Ivana Banfić (I Bee),Šumica,1994,GvAbHSWMVqo
Dar Mar,Daj mi vina da se napijem,1997,u_LcX4N8Z_U
Beat Street feat. Brankica,Opsesija,1995,pYypuHPHPKg
Knez,Mia bella signorina,1996,3WMdyqTTA0E
Energija,Snage mi ponestaje,1998,DhRcNoaPCfI
Colonia,Za tvoje snene oči,2001,36UsM3giJEk
Colonia,Oduzimaš mi dah,2002,RSqrnSzMFzQ
Karma,Amore mio,2003,uP3e4IYB2zE
Sinan Sakić,Zoko moja Zoko,1988,LRmVwIY8
Sinan Sakić,Pijem na eks,2005,ZOry-KzMPls
Jana,Šta će ti pevačica,1998,cOU90gVmv14
Šako Polumenta,Dišem za tebe,2002,y-JkVTiD-6Y
Aca Lukas,Bele ruže,1998,UGOBg-M9eeU
Željko Šašić,Gori more,1994,JH1IW6SKlRY
Džej Ramadanovski & Mina Kostić,Slavija,2001,q9Wkw7AYALY
Nikola Rokvić,Al' nema nas,2006,OWNjbh3bTEs
Lepi,Iza oblaka,2007,-2I2bAHS2aI
Zoran Vanev,Južna pruga,2003,ZG_xUB6nGCk
Siniša Vuco,Tražena si roba u gradu,2004,wH5ANq3C3c0
Gojko Hitmacher Ajkula,Gunce Afno,2022,sk9ibxgFINc
Frenkie,Đe Će Ko,2017,axb5nblBPMg
Helem Nejse,Kabadahija,2017,YNbtcSXMpMQ
Helem Nejse & Marko Louis,Lagana Zadava,2020,HtLBUUQz6PM
Dubioza Kolektiv,Može li?,2022,XSFdLvdw86I
Vojko V,Evo me opet,2023,1FYqoLC-rrs
Desingerica & Lule Pljugica,Ccokolada,2023,0uC1I2yQrM8
Desingerica,Skakavac,2024,Y-LV13r1_Co
Henny,Sava i Dunav,2022,veu52ChVtHo
Breskvica,Srecan put,2021,WdRc7X-kkqw
Voyage,Euforija,2021,G7o18K5jP2g
Jala Brat & Buba Corelli feat. Senidah,Kamikaza,2019,Xs3n5tjsPmI
Jala Brat & Buba Corelli,Monster,2024,W5Mw3xedctI
Zera,Nad****,2023,YyCdgRD4tUI
Milica Pavlović,Lav,2023,PmIo5VWnaMQ
Aleksandra Prijović,Devet života,2023,QdOjgmkykHM
Aleksandra Prijović,Psiho,2023,ynXQJHtRmB4
Tea Tairović,Bibi Habibi,2024,oHZrn6hEVps
Tanja Savić,Siroče,2023,FM1EwPcsxTs
Nucci,Automatti,2023,lav04ajh0js
"Relja, Coby, Stoja",Samo jako,2017,kh0Okk__PrE
Dado Polumenta,Ana Marija,2005,ukB-sNEgniE
Dara Bubamara,Karera,2014,DrI9y33rbl0
